Nom de film,URL de Dbpedia,URL de Wikipedia
['Hors les murs'],http://dbpedia.org/resource/Beyond_the_Walls_(2012_film),<http://www.wikidata.org/entity/Q3140771>
['Pop Redemption'],vide,<http://www.wikidata.org/entity/Q3397906>
['Sport de filles'],http://dbpedia.org/resource/Sport_de_filles,<http://www.wikidata.org/entity/Q3493903>
['À perdre la raison'],http://dbpedia.org/resource/Our_Children,<http://www.wikidata.org/entity/Q3545803>
['Une famille respectable'],http://dbpedia.org/resource/A_Respected_Family,<http://www.wikidata.org/entity/Q5963898>
['La Tour de guet'],vide,<http://www.wikidata.org/entity/Q6074228>
['Les Beaux Jours'],http://dbpedia.org/resource/Bright_Days_Ahead,<http://www.wikidata.org/entity/Q3230981>
['Les Boulistes'],vide,<http://www.wikidata.org/entity/Q3231124>
['Les Gouffres'],vide,<http://www.wikidata.org/entity/Q3233006>
['Mon père va me tuer'],http://dbpedia.org/resource/It_Was_the_Son,<http://www.wikidata.org/entity/Q3319990>
['Nymphomaniac'],http://dbpedia.org/resource/Nymphomaniac_(film),<http://www.wikidata.org/entity/Q3346699>
['Pas très normales activités'],vide,<http://www.wikidata.org/entity/Q3367212>
['3 Days to Kill'],http://dbpedia.org/resource/3_Days_to_Kill,<http://www.wikidata.org/entity/Q3525931>
['Tous cobayes ?'],vide,<http://www.wikidata.org/entity/Q3535585>
['Une Estonienne à Paris'],vide,<http://www.wikidata.org/entity/Q3549295>
['White Bird in a Blizzard'],http://dbpedia.org/resource/White_Bird_in_a_Blizzard,<http://www.wikidata.org/entity/Q3567763>
['La grande bellezza'],http://dbpedia.org/resource/The_Great_Beauty,<http://www.wikidata.org/entity/Q6379279>
['Le Dernier des injustes'],http://dbpedia.org/resource/The_Last_of_the_Unjust,<http://www.wikidata.org/entity/Q3222208>
['Les Jeux des nuages et de la pluie'],vide,<http://www.wikidata.org/entity/Q3233426>
['Nous York'],vide,<http://www.wikidata.org/entity/Q3344957>
['Goodbye Morocco'],vide,<http://www.wikidata.org/entity/Q3110702>
['Le Renard jaune'],vide,<http://www.wikidata.org/entity/Q3226325>
"[""Vous n'avez encore rien vu""]",http://dbpedia.org/resource/You_Ain't_Seen_Nothin'_Yet_(film),<http://www.wikidata.org/entity/Q3372679>
['Q15806091'],vide,<http://www.wikidata.org/entity/Q15806091>
['Les Opportunistes'],http://dbpedia.org/resource/Human_Capital_(2013_film),<http://www.wikidata.org/entity/Q15614707>
['Diplomatie'],http://dbpedia.org/resource/Diplomacy_(2014_film),<http://www.wikidata.org/entity/Q15990773>
['Lucy'],http://dbpedia.org/resource/Lucy_(2014_film),<http://www.wikidata.org/entity/Q15624215>
['Juliette'],vide,<http://www.wikidata.org/entity/Q15913338>
['Macbeth'],http://dbpedia.org/resource/Macbeth_(2015_film),<http://www.wikidata.org/entity/Q15934383>
['Au bord du monde'],vide,<http://www.wikidata.org/entity/Q15708594>
['American Nightmare 2'],http://dbpedia.org/resource/The_Purge:_Anarchy,<http://www.wikidata.org/entity/Q15728784>
['Jamais le premier soir'],http://dbpedia.org/resource/Never_on_the_First_Night,<http://www.wikidata.org/entity/Q15901144>
['Les Trois Frères : Le Retour'],"http://dbpedia.org/resource/Les_Trois_Frères,_le_retour",<http://www.wikidata.org/entity/Q15984635>
['Mea Culpa'],http://dbpedia.org/resource/Mea_Culpa_(film),<http://www.wikidata.org/entity/Q15972776>
"[""L'Homme que l'on aimait trop""]",http://dbpedia.org/resource/In_the_Name_of_My_Daughter,<http://www.wikidata.org/entity/Q15918377>
['Mes souliers rouges'],vide,<http://www.wikidata.org/entity/Q15918458>
['Une autre vie'],http://dbpedia.org/resource/Another_Life_(2013_film),<http://www.wikidata.org/entity/Q15972146>
['Fiston'],http://dbpedia.org/resource/Fiston,<http://www.wikidata.org/entity/Q15975155>
['Au nom du fils'],http://dbpedia.org/resource/In_the_Name_of_the_Son_(2012_film),<http://www.wikidata.org/entity/Q15708448>
['African Safari'],vide,<http://www.wikidata.org/entity/Q15845437>
"['Aimer, boire et chanter']",http://dbpedia.org/resource/Life_of_Riley_(2014_film),<http://www.wikidata.org/entity/Q15491127>
['Love Is Strange'],http://dbpedia.org/resource/Love_Is_Strange_(film),<http://www.wikidata.org/entity/Q15656073>
['Le Mystère de Dante'],http://dbpedia.org/resource/The_Mystery_of_Dante,<http://www.wikidata.org/entity/Q15732303>
"[""Les Grandes Ondes (à l'ouest)""]",http://dbpedia.org/resource/Longwave_(film),<http://www.wikidata.org/entity/Q15731572>
['La Chambre bleue'],http://dbpedia.org/resource/The_Blue_Room_(2014_film),<http://www.wikidata.org/entity/Q15974288>
"[""La Voie de l'ennemi""]",http://dbpedia.org/resource/Two_Men_in_Town_(2014_film),<http://www.wikidata.org/entity/Q15627888>
['Dark Touch'],http://dbpedia.org/resource/Dark_Touch,<http://www.wikidata.org/entity/Q15957072>
['The Homesman'],http://dbpedia.org/resource/The_Homesman,<http://www.wikidata.org/entity/Q15961525>
"[""N'importe qui""]",vide,<http://www.wikidata.org/entity/Q15725674>
